Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
Algoritmo Proposto,Trip Advisor,4,0.9999999999999999,0.5,,0.13758293262566895,0.12544608116149902
Algoritmo Proposto,Trip Advisor,5,0.9999999999999999,0.5,,0.1254595500203733,0.1474010944366455
Algoritmo Proposto,Trip Advisor,2,1.0999999999999999,0.5,,0.2842661688914445,0.05985713005065918
Algoritmo Proposto,Trip Advisor,3,1.0999999999999999,0.5,,0.2512643030497773,0.08098483085632324
Algoritmo Proposto,Trip Advisor,4,1.0999999999999999,0.5,,0.13758293262566895,0.13777542114257812
Algoritmo Proposto,Trip Advisor,5,1.0999999999999999,0.5,,0.1254595500203733,0.1619412899017334
Algoritmo Proposto,Trip Advisor,2,1.1999999999999997,0.5,,0.2842661688914445,0.16114258766174316
Algoritmo Proposto,Trip Advisor,3,1.1999999999999997,0.5,,0.2512643030497773,0.1930680274963379
Algoritmo Proposto,Trip Advisor,4,1.1999999999999997,0.5,,0.13758293262566895,0.24313616752624512
Algoritmo Proposto,Trip Advisor,5,1.1999999999999997,0.5,,0.1254595500203733,0.26245951652526855
Algoritmo Proposto,Trip Advisor,2,1.2999999999999998,0.5,,0.2842661688914445,0.46805596351623535
Algoritmo Proposto,Trip Advisor,3,1.2999999999999998,0.5,,0.2512643030497773,0.45287537574768066
Algoritmo Proposto,Trip Advisor,4,1.2999999999999998,0.5,,0.13758293262566895,0.4113762378692627
Algoritmo Proposto,Trip Advisor,5,1.2999999999999998,0.5,,0.1254595500203733,0.4395880699157715
Algoritmo Proposto,Trip Advisor,2,1.4,0.5,,0.2842661688914445,0.5082082748413086
Algoritmo Proposto,Trip Advisor,3,1.4,0.5,,0.2512643030497773,0.5690827369689941
Algoritmo Proposto,Trip Advisor,4,1.4,0.5,,0.13758293262566895,0.6461672782897949
Algoritmo Proposto,Trip Advisor,5,1.4,0.5,,0.1254595500203733,0.887047529220581
Algoritmo Proposto,Trip Advisor,2,1.4999999999999998,0.5,,0.2842661688914445,1.104264497756958
Algoritmo Proposto,Trip Advisor,3,1.4999999999999998,0.5,,0.2512643030497773,1.0910236835479736
Algoritmo Proposto,Trip Advisor,4,1.4999999999999998,0.5,,0.13758293262566895,1.1803693771362305
Algoritmo Proposto,Trip Advisor,5,1.4999999999999998,0.5,,0.1254595500203733,1.3699438571929932
Algoritmo Proposto,Trip Advisor,2,1.5999999999999996,0.5,,0.2842661688914445,0.9995808601379395
Algoritmo Proposto,Trip Advisor,3,1.5999999999999996,0.5,,0.2512643030497773,1.0390796661376953
Algoritmo Proposto,Trip Advisor,4,1.5999999999999996,0.5,,0.13758293262566895,1.4274346828460693
Algoritmo Proposto,Trip Advisor,5,1.5999999999999996,0.5,,0.1254595500203733,1.8000342845916748
Algoritmo Proposto,Trip Advisor,2,1.6999999999999997,0.5,,0.2842661688914445,1.2001872062683105
Algoritmo Proposto,Trip Advisor,3,1.6999999999999997,0.5,,0.2512643030497773,1.3633246421813965
Algoritmo Proposto,Trip Advisor,4,1.6999999999999997,0.5,,0.13758293262566895,2.0712783336639404
Algoritmo Proposto,Trip Advisor,5,1.6999999999999997,0.5,,0.1254595500203733,4.216207981109619
Algoritmo Proposto,Trip Advisor,2,1.7999999999999998,0.5,,0.2842661688914445,3.4708549976348877
Algoritmo Proposto,Trip Advisor,3,1.7999999999999998,0.5,,0.2512643030497773,3.122028350830078
Algoritmo Proposto,Trip Advisor,4,1.7999999999999998,0.5,,0.13758293262566895,4.0242390632629395
Algoritmo Proposto,Trip Advisor,5,1.7999999999999998,0.5,,0.1254595500203733,5.002189874649048
Algoritmo Proposto,Trip Advisor,2,1.8999999999999997,0.5,,0.2842661688914445,1.5671133995056152
Algoritmo Proposto,Trip Advisor,3,1.8999999999999997,0.5,,0.252485942507674,5.148154973983765
Algoritmo Proposto,Trip Advisor,4,1.8999999999999997,0.5,,0.13758293262566895,5.418642997741699
Algoritmo Proposto,Trip Advisor,5,1.8999999999999997,0.5,,0.1255368502362605,6.917854309082031
Algoritmo Proposto,Trip Advisor,2,1.9999999999999996,0.5,,0.2842661688914445,1.5274479389190674
Algoritmo Proposto,Trip Advisor,3,1.9999999999999996,0.5,,0.25295882518909496,2.1367528438568115
Algoritmo Proposto,Trip Advisor,4,1.9999999999999996,0.5,,0.13758293262566895,3.25919508934021
Algoritmo Proposto,Trip Advisor,5,1.9999999999999996,0.5,,0.12582374551844025,4.635928630828857
Algoritmo Proposto,Trip Advisor,2,2.0999999999999996,0.5,,0.2842661688914445,2.0578300952911377
Algoritmo Proposto,Trip Advisor,3,2.0999999999999996,0.5,,0.2535670863396837,2.9050419330596924
Algoritmo Proposto,Trip Advisor,4,2.0999999999999996,0.5,,0.13790135238615936,3.9400837421417236
