,Algorithm,Dataset,Number of Clusters,Eps,Min_Sample,Silhouette,Execution Time
966,DBScan,Trip Advisor,10,5.800000000000003,21,,0.05537200003163889
694,DBScan,Trip Advisor,10,4.700000000000003,24,,0.055420199991203845
755,DBScan,Trip Advisor,10,5.000000000000003,10,,0.05543419998139143
935,DBScan,Trip Advisor,10,5.700000000000003,15,,0.05544300004839897
718,DBScan,Trip Advisor,10,4.8000000000000025,23,,0.05548730003647506
927,DBScan,Trip Advisor,10,5.700000000000003,7,,0.05552170000737533
959,DBScan,Trip Advisor,10,5.800000000000003,14,,0.05553970002802089
789,DBScan,Trip Advisor,10,5.100000000000003,19,,0.055554900027345866
650,DBScan,Trip Advisor,10,4.600000000000002,5,,0.05556050001177937
893,DBScan,Trip Advisor,10,5.5000000000000036,23,,0.05559180001728237
604,DBScan,Trip Advisor,10,4.400000000000002,9,,0.05562100000679493
841,DBScan,Trip Advisor,10,5.3000000000000025,21,,0.05563870002515614
739,DBScan,Trip Advisor,10,4.900000000000002,19,,0.05581839999649674
766,DBScan,Trip Advisor,10,5.000000000000003,21,,0.05582509998930618
592,DBScan,Trip Advisor,10,4.3000000000000025,22,,0.05595089995767921
900,DBScan,Trip Advisor,10,5.600000000000003,5,,0.056021700031124055
838,DBScan,Trip Advisor,10,5.3000000000000025,18,,0.056030699983239174
936,DBScan,Trip Advisor,10,5.700000000000003,16,,0.0560593000263907
851,DBScan,Trip Advisor,10,5.400000000000003,6,,0.056159599975217134
710,DBScan,Trip Advisor,10,4.8000000000000025,15,,0.05616720003308728
761,DBScan,Trip Advisor,10,5.000000000000003,16,,0.05617349996464327
777,DBScan,Trip Advisor,10,5.100000000000003,7,,0.05620049999561161
865,DBScan,Trip Advisor,10,5.400000000000003,20,,0.0562585000297986
626,DBScan,Trip Advisor,10,4.500000000000002,6,,0.05627330002607778
825,DBScan,Trip Advisor,10,5.3000000000000025,5,,0.05632350000087172
779,DBScan,Trip Advisor,10,5.100000000000003,9,,0.05636019998928532
874,DBScan,Trip Advisor,10,5.400000000000003,29,,0.05645640002330765
760,DBScan,Trip Advisor,10,5.000000000000003,15,,0.05648130003828555
839,DBScan,Trip Advisor,10,5.3000000000000025,19,,0.056513399991672486
757,DBScan,Trip Advisor,10,5.000000000000003,12,,0.05659170000581071
660,DBScan,Trip Advisor,10,4.600000000000002,15,,0.0566164999618195
633,DBScan,Trip Advisor,10,4.500000000000002,13,,0.05668209999566898
679,DBScan,Trip Advisor,10,4.700000000000003,9,,0.05669619998661801
814,DBScan,Trip Advisor,10,5.200000000000003,19,,0.0567665999988094
653,DBScan,Trip Advisor,10,4.600000000000002,8,,0.056794999982230365
981,DBScan,Trip Advisor,10,5.900000000000004,11,,0.056925600045360625
632,DBScan,Trip Advisor,10,4.500000000000002,12,,0.05695110000669956
977,DBScan,Trip Advisor,10,5.900000000000004,7,,0.057051300012972206
976,DBScan,Trip Advisor,10,5.900000000000004,6,,0.05707879998954013
634,DBScan,Trip Advisor,10,4.500000000000002,14,,0.057119400007650256
649,DBScan,Trip Advisor,10,4.500000000000002,29,,0.05713820003438741
919,DBScan,Trip Advisor,10,5.600000000000003,24,,0.057155299989972264
726,DBScan,Trip Advisor,10,4.900000000000002,6,,0.05716940003912896
956,DBScan,Trip Advisor,10,5.800000000000003,11,,0.0572142000310123
899,DBScan,Trip Advisor,10,5.5000000000000036,29,,0.05734600004507229
689,DBScan,Trip Advisor,10,4.700000000000003,19,,0.05742789997020736
724,DBScan,Trip Advisor,10,4.8000000000000025,29,,0.05755839997436851
651,DBScan,Trip Advisor,10,4.600000000000002,6,,0.05757030000677332
638,DBScan,Trip Advisor,10,4.500000000000002,18,,0.057593800011090934
687,DBScan,Trip Advisor,10,4.700000000000003,17,,0.057657199969980866
639,DBScan,Trip Advisor,10,4.500000000000002,19,,0.05772739998064935
603,DBScan,Trip Advisor,10,4.400000000000002,8,,0.057765399978961796
749,DBScan,Trip Advisor,10,4.900000000000002,29,,0.057872099976520985
889,DBScan,Trip Advisor,10,5.5000000000000036,19,,0.05810700001893565
978,DBScan,Trip Advisor,10,5.900000000000004,8,,0.05811599997105077
908,DBScan,Trip Advisor,10,5.600000000000003,13,,0.058199800027068704
801,DBScan,Trip Advisor,10,5.200000000000003,6,,0.05825359997106716
955,DBScan,Trip Advisor,10,5.800000000000003,10,,0.058481100015342236
939,DBScan,Trip Advisor,10,5.700000000000003,19,,0.058549100009258837
898,DBScan,Trip Advisor,10,5.5000000000000036,28,,0.058567200030665845
763,DBScan,Trip Advisor,10,5.000000000000003,18,,0.05871430004481226
884,DBScan,Trip Advisor,10,5.5000000000000036,14,,0.05872680002357811
871,DBScan,Trip Advisor,10,5.400000000000003,26,,0.05874310003127903
857,DBScan,Trip Advisor,10,5.400000000000003,12,,0.05897820001700893
773,DBScan,Trip Advisor,10,5.000000000000003,28,,0.059103299980051816
805,DBScan,Trip Advisor,10,5.200000000000003,10,,0.05930690001696348
764,DBScan,Trip Advisor,10,5.000000000000003,19,,0.05931729997973889
675,DBScan,Trip Advisor,10,4.700000000000003,5,,0.059351999952923506
861,DBScan,Trip Advisor,10,5.400000000000003,16,,0.059382200008258224
672,DBScan,Trip Advisor,10,4.600000000000002,27,,0.05944310000631958
674,DBScan,Trip Advisor,10,4.600000000000002,29,,0.05959130002884194
729,DBScan,Trip Advisor,10,4.900000000000002,9,,0.05962869996437803
901,DBScan,Trip Advisor,10,5.600000000000003,6,,0.059846999996807426
601,DBScan,Trip Advisor,10,4.400000000000002,6,,0.05987050000112504
648,DBScan,Trip Advisor,10,4.500000000000002,28,,0.060177700011990964
