,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
5603,IMCKDE,Trip Advisor,7,6.699999999999998,4.5,,0.4317332761714281,1.1795155999716371
5545,IMCKDE,Trip Advisor,3,6.099999999999999,4.5,,0.4317332761714281,1.1879538999637589
5613,IMCKDE,Trip Advisor,8,6.799999999999999,4.5,,0.4317332761714281,1.1884926001075655
5551,IMCKDE,Trip Advisor,9,6.099999999999999,4.5,,0.4317332761714281,1.1991466999752447
5544,IMCKDE,Trip Advisor,2,6.099999999999999,4.5,,0.4317332761714281,1.1992038000607863
5586,IMCKDE,Trip Advisor,8,6.499999999999998,4.5,,0.4317332761714281,1.2031590000260621
5604,IMCKDE,Trip Advisor,8,6.699999999999998,4.5,,0.4317332761714281,1.2093761999858543
5607,IMCKDE,Trip Advisor,2,6.799999999999999,4.5,,0.4317332761714281,1.2128582000732422
5597,IMCKDE,Trip Advisor,10,6.599999999999999,4.5,,0.4317332761714281,1.224851300008595
5553,IMCKDE,Trip Advisor,2,6.199999999999998,4.5,,0.4317332761714281,1.2258147000102326
5591,IMCKDE,Trip Advisor,4,6.599999999999999,4.5,,0.4317332761714281,1.2392798999790102
5576,IMCKDE,Trip Advisor,7,6.399999999999999,4.5,,0.4317332761714281,1.2461963000241667
5593,IMCKDE,Trip Advisor,6,6.599999999999999,4.5,,0.4317332761714281,1.2492386000230908
5588,IMCKDE,Trip Advisor,10,6.499999999999998,4.5,,0.4317332761714281,1.2821577000431716
5614,IMCKDE,Trip Advisor,9,6.799999999999999,4.5,,0.4317332761714281,1.282756399945356
5595,IMCKDE,Trip Advisor,8,6.599999999999999,4.5,,0.4317332761714281,1.2987625000532717
5615,IMCKDE,Trip Advisor,10,6.799999999999999,4.5,,0.4317332761714281,1.3077317000133917
5608,IMCKDE,Trip Advisor,3,6.799999999999999,4.5,,0.4317332761714281,1.3115903000580147
5579,IMCKDE,Trip Advisor,10,6.399999999999999,4.5,,0.4317332761714281,1.3188571999780834
5581,IMCKDE,Trip Advisor,3,6.499999999999998,4.5,,0.4317332761714281,1.3356004999950528
5547,IMCKDE,Trip Advisor,5,6.099999999999999,4.5,,0.4317332761714281,1.3360525999451056
5552,IMCKDE,Trip Advisor,10,6.099999999999999,4.5,,0.4317332761714281,1.3399022000376135
5563,IMCKDE,Trip Advisor,3,6.299999999999999,4.5,,0.4317332761714281,1.3434665999375284
5562,IMCKDE,Trip Advisor,2,6.299999999999999,4.5,,0.4317332761714281,1.3449946999317035
5622,IMCKDE,Trip Advisor,8,6.899999999999999,4.5,,0.4317332761714281,1.3486980000743642
5560,IMCKDE,Trip Advisor,9,6.199999999999998,4.5,,0.4317332761714281,1.3493510000407696
5570,IMCKDE,Trip Advisor,10,6.299999999999999,4.5,,0.4317332761714281,1.3510559001006186
5611,IMCKDE,Trip Advisor,6,6.799999999999999,4.5,,0.4317332761714281,1.3520461999578401
5564,IMCKDE,Trip Advisor,4,6.299999999999999,4.5,,0.4317332761714281,1.3576219000387937
5610,IMCKDE,Trip Advisor,5,6.799999999999999,4.5,,0.4317332761714281,1.3688509000930935
5572,IMCKDE,Trip Advisor,3,6.399999999999999,4.5,,0.4317332761714281,1.3836393000092357
5584,IMCKDE,Trip Advisor,6,6.499999999999998,4.5,,0.4317332761714281,1.3870939000044018
5550,IMCKDE,Trip Advisor,8,6.099999999999999,4.5,,0.4317332761714281,1.3876585999969393
5558,IMCKDE,Trip Advisor,7,6.199999999999998,4.5,,0.4317332761714281,1.3996351000387222
5590,IMCKDE,Trip Advisor,3,6.599999999999999,4.5,,0.4317332761714281,1.4032619000645354
5548,IMCKDE,Trip Advisor,6,6.099999999999999,4.5,,0.4317332761714281,1.4224148000357673
5571,IMCKDE,Trip Advisor,2,6.399999999999999,4.5,,0.4317332761714281,1.4316992000676692
5549,IMCKDE,Trip Advisor,7,6.099999999999999,4.5,,0.4317332761714281,1.4430205000098795
5546,IMCKDE,Trip Advisor,4,6.099999999999999,4.5,,0.4317332761714281,1.446297400048934
5574,IMCKDE,Trip Advisor,5,6.399999999999999,4.5,,0.4317332761714281,1.4526499999919906
5578,IMCKDE,Trip Advisor,9,6.399999999999999,4.5,,0.4317332761714281,1.4557225999888033
5569,IMCKDE,Trip Advisor,9,6.299999999999999,4.5,,0.4317332761714281,1.4586972000543028
5621,IMCKDE,Trip Advisor,7,6.899999999999999,4.5,,0.4317332761714281,1.4590493000578135
5554,IMCKDE,Trip Advisor,3,6.199999999999998,4.5,,0.4317332761714281,1.5126272999914363
5620,IMCKDE,Trip Advisor,6,6.899999999999999,4.5,,0.4317332761714281,1.5295096000190824
5556,IMCKDE,Trip Advisor,5,6.199999999999998,4.5,,0.4317332761714281,1.5348703999770805
5577,IMCKDE,Trip Advisor,8,6.399999999999999,4.5,,0.4317332761714281,1.546697900048457
5582,IMCKDE,Trip Advisor,4,6.499999999999998,4.5,,0.4317332761714281,1.5594457000261173
5616,IMCKDE,Trip Advisor,2,6.899999999999999,4.5,,0.4317332761714281,1.5880897999741137
5557,IMCKDE,Trip Advisor,6,6.199999999999998,4.5,,0.4317332761714281,1.5937415000516921
5575,IMCKDE,Trip Advisor,6,6.399999999999999,4.5,,0.4317332761714281,1.6058773000258952
5618,IMCKDE,Trip Advisor,4,6.899999999999999,4.5,,0.4317332761714281,1.6166071000043303
5609,IMCKDE,Trip Advisor,4,6.799999999999999,4.5,,0.4317332761714281,1.62015039997641
5555,IMCKDE,Trip Advisor,4,6.199999999999998,4.5,,0.4317332761714281,1.6357911999803036
5624,IMCKDE,Trip Advisor,10,6.899999999999999,4.5,,0.4317332761714281,1.6386306999484077
5617,IMCKDE,Trip Advisor,3,6.899999999999999,4.5,,0.4317332761714281,1.691154500003904
5567,IMCKDE,Trip Advisor,7,6.299999999999999,4.5,,0.4317332761714281,1.7028494999976829
5623,IMCKDE,Trip Advisor,9,6.899999999999999,4.5,,0.4317332761714281,1.731089900014922
5565,IMCKDE,Trip Advisor,5,6.299999999999999,4.5,,0.4317332761714281,1.7363449999829754
5566,IMCKDE,Trip Advisor,6,6.299999999999999,4.5,,0.4317332761714281,1.7494754999643192
5568,IMCKDE,Trip Advisor,8,6.299999999999999,4.5,,0.4317332761714281,1.7999293999746442
5619,IMCKDE,Trip Advisor,5,6.899999999999999,4.5,,0.4317332761714281,1.8728733999887481
5539,IMCKDE,Trip Advisor,6,5.999999999999999,4.5,,0.4219196226548066,1.0035687000490725
5533,IMCKDE,Trip Advisor,9,5.899999999999999,4.5,,0.4219196226548066,1.127658599987626
5528,IMCKDE,Trip Advisor,4,5.899999999999999,4.5,,0.4219196226548066,1.133311100071296
